stratum,county,count,biodegradeable,biohazard,construction,fabric,glass,large,metal,misc,plastic,toxic
Agriculture,LOS ANGELES,22.714285714285715,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.8571428571428571,3.571428571428571,0,0.2857142857142857,3,13.142857142857144,0.7142857142857143
Agriculture,RIVERSIDE,0.48764610280670345,0,0,0,0,0,0,0,0,0.48764610280670345,0
Agriculture,SAN BERNARDINO,98,0,0,0,0,0,0,8,2,88,0
Agriculture,SAN DIEGO,52.41180075304115,1.1278493390628126,0,27.26097728141011,0,0,0.34076221601762635,1.7038110800881319,2.3853355121233846,19.593065324339086,0
Agriculture,VENTURA,17.62001389039569,0.919990739736208,0,0,0,0,0.540004630131896,0,0.540004630131896,11.459995369868105,4.160018520527585
Open,LOS ANGELES,12.802081849726196,1.1246992826212068,0.029876339515245008,0.22721677053386857,0.6572655662838711,0.8895855235547945,0.005589898767300732,0.87486682147696,1.357438548970739,6.798515102301529,0.8370279957006826
Open,ORANGE,11.673595707834144,0,0,1.1797903057540833,0,0.8585649743910269,0.2494921814414303,1.6767433944026646,0.42928248719551343,6.780738001766565,0.4989843628828606
Open,RIVERSIDE,11.508644069622898,0.46929255178171764,0,0.2559041441989931,1.1720141447929102,1.7613326577510378,0.04289379074369053,0.964451956480778,0.7255241067576768,5.750246012584051,0.3669847045320437
Open,SAN BERNARDINO,8.167621106966878,0.7304183940906951,0.24006949968355462,0.3693010075042631,0.7005201523374877,0.3729681616357089,0.050756086765891995,1.8293092890565357,0.7845692864136555,3.0897092294790864,0
Open,SAN DIEGO,0.3098312179029391,0,0,0.04967103411798629,0,0.05363963780031313,0,0.0422068282215996,0.04561603652329764,0.11869768123974246,0
Open,VENTURA,3.6799308583411916,0.08741015332652108,0.02913671777550703,0.1332913346466082,0,1.1654687110202813,0,0.10415461687110117,0.3787773310815914,1.2572310736604555,0.5244609199591266
Urban,LOS ANGELES,35.77215150317064,2.2991872832512565,0.20666958804626015,3.436080749258684,0.6310923984862423,1.5461527955474919,0.019946900282155452,1.3822197230158397,1.9806843533029785,21.569262755315606,2.7008549566641267
Urban,ORANGE,58.03657394483016,5.402487103468928,0.0993398875010147,1.8138172280215632,0.793450504151602,4.904571444230197,0.10608943104467071,2.948211047081229,1.4480301886341311,36.50311369773589,4.017463412960926
Urban,RIVERSIDE,77.40145481383989,3.3971827731376902,0.38257876071363345,1.3770455525913983,1.0370276941154646,5.953179791380726,0.572402590197697,4.890081821140046,3.303919126507826,53.40249622728123,3.0855404767741637
Urban,SAN BERNARDINO,24.294395483012273,1.2058509769748402,0,0.2535482107950073,0.2535482107950073,2.273831318792633,0,0.09095325275170532,0.40195032565828015,19.8147131872448,0
Urban,SAN DIEGO,38.992386482413586,1.4683292129230332,0.08377320312948928,1.3275826747925916,1.1802940492537484,1.954272644261735,0.2022600504690395,1.7901493218366962,8.920009479713817,21.52837876528302,0.5373370807504194
Urban,VENTURA,34,0.6666666666666666,0.3333333333333333,0,0,3.333333333333333,0.3333333333333333,0,3,16,10.333333333333332
