objectid,stationid,trawltime
1895,B18-10308,13
1896,B18-10255,11
1904,B18-10242,10
1905,B18-10279,10
1906,B18-10279,10
1907,B18-10322,10
1908,B18-10838,10
1909,B18-10838,10
1911,B18-10327,18
1912,B18-10327,31
1913,B18-10334,30
1914,B18-10336,30
1915,B18-10336,31
1916,B18-10280,16
1917,B18-10280,30
1924,B18-10241,10
1926,B18-10211,10
1927,B18-10212,10
1928,B18-10214,10
1929,B18-10221,10
1931,B18-10207,10
1932,B18-10215,10
1933,B18-10251,10
1934,B18-10251,10
1935,B18-10277,11
1936,B18-10278,11
1937,B18-10349,11
1938,B18-10231,10
1939,B18-10349,11
1940,B18-10237,10
1941,B18-10300,10
1942,B18-10300,10
1943,B18-10265,11
1944,B18-10267,11
1945,B18-10925,11
1946,B18-10875,11
1947,B18-10930,10
1948,B18-10989,11
1949,B18-10350,11
1950,B18-10351,11
1951,B18-10992,11
1952,B18-10879,11
1953,B18-10340,11
1954,B18-10339,13
1955,B18-11000,11
1956,B18-10286,12
1957,B18-10320,11
1958,B18-10348,17
1959,B18-10283,11
1960,B18-10284,11
1961,B18-10325,11
1962,B18-10328,11
1963,B18-10332,13
1964,B18-10333,13
1965,B18-10335,12
1966,B18-10338,11
1967,B18-10292,11
1968,B18-10290,11
1969,B18-10291,11
1970,B18-10949,10
1971,B18-10297,11
1972,B18-10296,11
1973,B18-10294,11
1974,B18-10224,11
1975,B18-10343,11
1976,B18-10310,11
1977,B18-10342,11
1978,B18-10307,11
1979,B18-10342,11
1980,B18-10342,15
1981,B13-9407,11
1983,B18-10269,12
1984,B18-10266,11
1985,B18-10321,10
1986,B18-11032,11
1988,B18-10250,11
1989,B18-10303,11
1990,B18-10911,11
1991,B18-10311,11
1992,B18-10309,11
1993,B18-10341,11
1994,B18-10341,15
1995,B18-10219,11
1996,B18-10253,11
1997,B18-10254,11
1998,B18-10968,13
1999,B18-10218,11
2000,B18-10905,11
2001,B18-10304,13
2002,B18-10345,11
2003,B18-10068,10
2005,B18-10228,10
2006,B18-10260,11
2007,B18-10227,11
2008,B18-10313,11
2009,B18-10225,11
2010,B18-10295,10
2011,B18-10030,10
2012,B18-10030,11
2013,B18-10038,10
2014,B18-10867,10
2015,B18-10262,11
2016,B18-10914,11
2017,B18-10258,11
2018,B18-10222,11
2019,B18-10223,10
2021,B18-10226,11
2023,B18-10915,11
2024,B18-10314,10
2025,B18-10973,11
2026,B18-10344,10
2027,B18-10344,11
2028,B18-10862,10
2029,B18-10346,11
2030,B18-10300,10
2031,B18-10300,10
2032,B18-10213,10
2033,B18-10249,10
2034,B18-10210,10
2035,B18-10300,10
2036,B18-10295,10
2037,B18-10299,10
2038,B18-10848,10
2039,B18-10953,10
2040,B18-10205,10
2041,B18-10243,10
2042,B18-10299,10
2043,B18-10299,10
2044,B18-10245,10
2045,B18-10208,10
2046,B18-10246,10
2047,B18-10247,10
2048,B18-10302,10
2049,B18-10248,10
2050,B18-10842,10
2051,B18-10244,10
2052,B18-10248,10
2053,B18-10251,10
2055,A1,10
2056,T0.5-S,10
2059,B18-10019,11
2062,B18-10037,11
2064,B18-10036,11
2065,B18-10034,10
2066,B18-10024,10
2067,B18-10022,10
2069,B18-10042,10
